src_tags	tgt_tags	distinct_tags
['det', 'ind', 'GD']	['det', 'ind', 'mf']	['mf', 'GD']
['det', 'ind', 'mf']	['det', 'ind', 'f']	['f', 'mf']
['det', 'ind', 'mf', 'pl']	['det', 'ind', 'mf', 'sg']	['sg', 'pl']
['det', 'ind', 'mf', 'ND']	['det', 'ind', 'mf', 'sg']	['sg', 'ND']
['det', 'mf', 'sp']	['det', 'GD', 'ND']	['sp', 'ND', 'mf', 'GD']
['det', 'def', 'GD']	['det', 'def', 'mf']	['mf', 'GD']
['det', 'dem', 'GD']	['det', 'dem', 'mf']	['mf', 'GD']
['det', 'pos', 'mf']	['det', 'pos', 'f']	['f', 'mf']
['det', 'pos', 'mf', 'ND']	['det', 'pos', 'mf', 'sp']	['sp', 'ND']
['predet', 'f', 'ND']	['predet', 'f', 'sp']	['sp', 'ND']
['num', 'm', 'sp']	['num', 'mf', 'sp']	['mf', 'm']
['num', 'm', 'pl']	['num', 'mf', 'sp']	['sp', 'mf', 'm', 'pl']
['num', 'mf', 'pl']	['num', 'mf', 'sp']	['sp', 'pl']
['det', 'def', 'f', 'sp']	['num', 'f', 'sp']	['det', 'num', 'def']
['adj', 'm']	['adj', 'mf']	['mf', 'm']
['adj', 'f']	['adj', 'mf']	['f', 'mf']
['adj', 'GD']	['adj', 'mf']	['mf', 'GD']
['adj', 'mf']	['adj', 'GD']	['mf', 'GD']
['adj', 'mf']	['adj', 'f']	['f', 'mf']
['adj', 'mf']	['adj', 'm']	['m', 'mf']
['adj', 'mf', 'sg']	['adj', 'mf', 'sp']	['sg', 'sp']
['adj', 'mf', 'pl']	['adj', 'mf', 'sp']	['sp', 'pl']
['adj', 'm', 'sg']	['adj', 'mf', 'sp']	['sg', 'sp', 'mf', 'm']
['adj', 'f', 'sg']	['adj', 'mf', 'sp']	['sg', 'f', 'mf', 'sp']
['adj', 'm', 'pl']	['adj', 'mf', 'sp']	['sp', 'mf', 'm', 'pl']
['adj', 'f', 'pl']	['adj', 'mf', 'sp']	['sp', 'f', 'mf', 'pl']
['adj', 'GD', 'ND']	['adj', 'mf', 'sp']	['sp', 'GD', 'mf', 'ND']
